station_id,bars,museums,restaurants
0169398b94b3eed7ace5cef57be40375,12.0,0.0,8.0
01a6766ca7d27d30daa6b6d3fd661680,50.0,17.0,50.0
01b098a044c60e31c642865cf0ce1b3e,50.0,7.0,50.0
039374c72295ea6698c3626d478b85d0,50.0,19.0,50.0
039822fb9f6d2d7b9fc69d31d31ddae7,50.0,23.0,50.0
0546d825dfb50724ced5555d608abe99,50.0,17.0,50.0
06238d9c770ffff83eb825f2750b8c28,20.0,0.0,24.0
07006d4c2648720f7ee0ee3baec5a1b0,50.0,15.0,50.0
0728885bea6c3898896362822e7f1591,50.0,4.0,50.0
072b4ac29bec8affbb7440dc2cf64677,50.0,6.0,50.0
07778ce00e2fd874c3c70a88af7bf3fd,30.0,0.0,31.0
078fb186eed47e641b13b45233963d9c,50.0,20.0,50.0
0837c7e59c8a9b0e26ea6b114e6fff3c,14.0,1.0,27.0
0858f39570fc54992ae282ddb6107b9c,44.0,0.0,50.0
0af3043c5906684b3afc97f387c94430,41.0,2.0,50.0
0baa632a28ce8448d8823328c5c84d32,28.0,0.0,23.0
0c07c4116c86821583827c3b1ce46dfc,29.0,2.0,50.0
0c40c3cc2c1f83daedae3d976fbca863,50.0,14.0,50.0
0cc9f42765b9b45dfb5aec45dbe3814f,50.0,19.0,50.0
0d9b2c4835426455a696e34fda8d1bc7,28.0,1.0,50.0
0ddca27a22db612b3fb0ac4cf3b2bd04,50.0,13.0,50.0
0f070dedd2e6f89d15f5180d5e77fbd3,30.0,0.0,26.0
0f5d523e22bc6d0a8cadcdfcb2d66105,39.0,4.0,36.0
0f6728e92437a8e0bd6be2a5df846d1e,31.0,7.0,31.0
0f97857ffbd37f182df8e1f08ec4e63c,50.0,7.0,50.0
0fe8b60308ef57c09804999d147c1b75,34.0,0.0,48.0
10ff2e6c55afcbba5b973ce0b2655d98,50.0,21.0,50.0
110873bf105faf68bd53a107f3ab3854,50.0,11.0,50.0
11b81031b4ea4395876c7a7dbf4f14da,50.0,18.0,50.0
11bc96117914486849cfc05ca333757e,50.0,20.0,50.0
12427ad00c4bdecd83f81ba8de56aee0,42.0,4.0,50.0
128976b8ab791b64fb935e7861d30fcd,50.0,16.0,50.0
13088b02393576a563630e8eacb9458f,12.0,0.0,14.0
13982c42b902de96b040d3188c19220c,50.0,15.0,50.0
14473b2e08e9d3fa04ad2ff5ae86a936,50.0,19.0,50.0
1496a62a245749a209e74d8a3552b822,50.0,21.0,50.0
149e7a50ec80ce4e5addbe875df7c0ff,50.0,17.0,50.0
14cb0473ca0b8a57edbdc25ae6679710,19.0,0.0,43.0
15a113cf10b673d93cfd871aeb3fb71a,45.0,2.0,38.0
15c1fe1e6905d3c2c75149c7fd8e9b1f,50.0,5.0,50.0
15c2c27d8a652ded0b756607b4577153,50.0,12.0,50.0
15e9bcc8527d8e07220ea3e49bb774f3,50.0,15.0,50.0
16792b84fd889a2b1428e2659ff699bd,40.0,1.0,50.0
16aa1ecb3616ddbb12d7c8c5d69cdca5,26.0,0.0,50.0
1721eed8c29811f61fb32b4ae493aea2,50.0,20.0,50.0
17811174d4c7ed6b666c826fefd30903,50.0,13.0,50.0
1a3bb31080ba77d41404c93e0c0f0299,50.0,7.0,50.0
1b133f13590a2a152dac4882e7847fdf,18.0,0.0,33.0
1b3506fe59b23039bab3dc8f524f625a,50.0,15.0,50.0
1b7595a5ef1aa93fd04991fdcfd290c7,50.0,1.0,50.0
1b8034523fc4ba1cb205dd612e37496f,50.0,14.0,50.0
1c9dc37c9f4ad22a9af38194caccf874,50.0,15.0,50.0
1db0822ee66df4367df7cd46b9192aa9,29.0,0.0,50.0
1ea7b39786ac4c6dc9d96572f92ce385,46.0,3.0,50.0
